Time[s], Channel 0, Channel 1
0.000000, 1, 1
7.931182, 1, 0
7.931188, 0, 0
7.931194, 1, 0
7.931198, 0, 0
7.931204, 1, 0
7.931208, 0, 0
7.931214, 1, 0
7.931218, 0, 0
7.931220, 0, 1
7.931224, 1, 1
7.931230, 0, 0
7.931236, 1, 0
7.931240, 0, 0
7.931246, 1, 0
7.931250, 0, 0
7.931256, 1, 0
7.931260, 0, 0
7.931262, 0, 1
7.931266, 1, 1
7.931272, 0, 1
7.931278, 1, 1
7.931282, 0, 0
7.931288, 1, 0
7.931292, 1, 1
7.931572, 1, 0
7.931576, 0, 0
7.931582, 1, 0
7.931586, 0, 0
7.931592, 1, 0
7.931598, 0, 0
7.931604, 1, 0
7.931608, 0, 1
7.931614, 1, 1
7.931618, 0, 0
7.931624, 1, 0
7.931628, 0, 0
7.931634, 1, 0
7.931640, 0, 1
7.931646, 1, 1
7.931650, 0, 1
7.931656, 1, 1
7.931660, 0, 1
7.931666, 1, 1
7.931670, 0, 1
7.931672, 0, 0
7.931676, 1, 0
7.931682, 1, 1
7.931960, 1, 0
7.931964, 0, 0
7.931970, 1, 0
7.931974, 0, 0
7.931980, 1, 0
7.931984, 0, 0
7.931990, 1, 0
7.931996, 0, 1
7.932002, 1, 1
7.932006, 0, 0
7.932012, 1, 0
7.932016, 0, 1
7.932022, 1, 1
7.932026, 0, 0
7.932032, 1, 0
7.932038, 0, 1
7.932044, 1, 1
7.932048, 0, 1
7.932054, 1, 1
7.932058, 0, 0
7.932064, 1, 0
7.932070, 1, 1
7.932346, 1, 0
7.932350, 0, 0
7.932356, 1, 0
7.932362, 0, 0
7.932368, 1, 0
7.932372, 0, 0
7.932378, 1, 0
7.932382, 0, 1
7.932388, 1, 1
7.932392, 0, 1
7.932394, 0, 0
7.932398, 1, 0
7.932404, 0, 1
7.932410, 1, 1
7.932414, 0, 1
7.932420, 1, 1
7.932424, 0, 1
7.932430, 1, 1
7.932434, 0, 1
7.932440, 1, 1
7.932446, 0, 0
7.932452, 1, 0
7.932456, 1, 1
7.932734, 1, 0
7.932738, 0, 0
7.932744, 1, 0
7.932748, 0, 0
7.932754, 1, 0
7.932760, 0, 0
7.932766, 1, 0
7.932770, 0, 1
7.932776, 1, 1
7.932780, 0, 1
7.932786, 1, 1
7.932790, 0, 0
7.932796, 1, 0
7.932802, 0, 0
7.932808, 1, 0
7.932812, 0, 1
7.932818, 1, 1
7.932822, 0, 1
7.932828, 1, 1
7.932832, 0, 0
7.932838, 1, 0
7.932844, 1, 1
7.933120, 1, 0
7.933124, 0, 0
7.933130, 1, 0
7.933134, 0, 0
7.933140, 1, 0
7.933144, 0, 0
7.933150, 1, 0
7.933156, 0, 1
7.933162, 1, 1
7.933166, 0, 1
7.933172, 1, 1
7.933176, 0, 0
7.933182, 1, 0
7.933186, 0, 0
7.933188, 0, 1
7.933194, 1, 1
7.933198, 0, 1
7.933204, 1, 1
7.933208, 0, 1
7.933214, 1, 1
7.933218, 0, 0
7.933224, 1, 0
7.933230, 1, 1
7.933508, 1, 0
7.933512, 0, 0
7.933518, 1, 0
7.933522, 0, 0
7.933528, 1, 0
7.933532, 0, 0
7.933538, 1, 0
7.933544, 0, 1
7.933550, 1, 1
7.933554, 0, 1
7.933560, 1, 1
7.933564, 0, 1
7.933570, 1, 1
7.933574, 0, 0
7.933580, 1, 0
7.933586, 0, 1
7.933592, 1, 1
7.933596, 0, 1
7.933602, 1, 1
7.933606, 0, 0
7.933612, 1, 0
7.933618, 1, 1
7.933894, 1, 0
7.933898, 0, 0
7.933904, 1, 0
7.933908, 0, 0
7.933914, 1, 0
7.933920, 0, 0
7.933926, 1, 0
7.933930, 0, 1
7.933936, 1, 1
7.933940, 0, 1
7.933946, 1, 1
7.933950, 0, 1
7.933956, 1, 1
7.933962, 0, 1
7.933968, 1, 1
7.933972, 0, 1
7.933978, 1, 1
7.933982, 0, 1
7.933988, 1, 1
7.933992, 0, 0
7.933998, 1, 0
7.934004, 1, 1
7.934562, 1, 0
7.934568, 0, 0
7.934574, 1, 0
7.934578, 0, 0
7.934584, 1, 0
7.934588, 0, 1
7.934594, 1, 1
7.934598, 0, 0
7.934604, 1, 0
7.934610, 0, 0
7.934616, 1, 0
7.934620, 0, 0
7.934626, 1, 0
7.934630, 0, 0
7.934636, 1, 0
7.934640, 0, 0
7.934642, 0, 1
7.934646, 1, 1
7.934652, 0, 1
7.934658, 1, 1
7.934662, 0, 0
7.934668, 1, 0
7.934672, 1, 1
7.934938, 1, 0
7.934944, 0, 0
7.934950, 1, 0
7.934954, 0, 0
7.934960, 1, 0
7.934964, 0, 1
7.934970, 1, 1
7.934974, 0, 1
7.934976, 0, 0
7.934980, 1, 0
7.934986, 0, 0
7.934992, 1, 0
7.934996, 0, 0
7.935002, 1, 0
7.935006, 0, 1
7.935012, 1, 1
7.935016, 0, 1
7.935022, 1, 1
7.935028, 0, 1
7.935034, 1, 1
7.935038, 0, 0
7.935044, 1, 0
7.935048, 1, 1
7.935326, 1, 0
7.935330, 0, 0
7.935336, 1, 0
7.935340, 0, 0
7.935346, 1, 0
7.935352, 0, 1
7.935358, 1, 1
7.935362, 0, 0
7.935368, 1, 0
7.935372, 0, 0
7.935378, 1, 0
7.935382, 0, 0
7.935384, 0, 1
7.935388, 1, 1
7.935394, 0, 0
7.935400, 1, 0
7.935404, 0, 1
7.935410, 1, 1
7.935414, 0, 1
7.935420, 1, 1
7.935424, 0, 1
7.935426, 0, 0
7.935430, 1, 0
7.935436, 1, 1
7.935722, 1, 0
7.935726, 0, 0
7.935732, 1, 0
7.935738, 0, 0
7.935744, 1, 0
7.935748, 0, 1
7.935754, 1, 1
7.935758, 0, 0
7.935764, 1, 0
7.935768, 0, 0
7.935774, 1, 0
7.935780, 0, 1
7.935786, 1, 1
7.935790, 0, 1
7.935796, 1, 1
7.935800, 0, 1
7.935806, 1, 1
7.935810, 0, 1
7.935816, 1, 1
7.935822, 0, 0
7.935828, 1, 0
7.935832, 1, 1
7.936110, 1, 0
7.936114, 0, 0
7.936120, 1, 0
7.936124, 0, 0
7.936130, 1, 0
7.936134, 0, 0
7.936136, 0, 1
7.936140, 1, 1
7.936146, 0, 0
7.936152, 1, 0
7.936156, 0, 1
7.936162, 1, 1
7.936166, 0, 0
7.936172, 1, 0
7.936176, 0, 0
7.936182, 1, 0
7.936188, 0, 1
7.936194, 1, 1
7.936198, 0, 1
7.936204, 1, 1
7.936208, 0, 0
7.936214, 1, 0
7.936220, 1, 1
7.936496, 1, 0
7.936500, 0, 0
7.936506, 1, 0
7.936510, 0, 0
7.936518, 1, 0
7.936522, 0, 1
7.936528, 1, 1
7.936532, 0, 0
7.936538, 1, 0
7.936542, 0, 1
7.936548, 1, 1
7.936552, 0, 1
7.936554, 0, 0
7.936560, 1, 0
7.936564, 0, 1
7.936570, 1, 1
7.936574, 0, 1
7.936580, 1, 1
7.936584, 0, 1
7.936590, 1, 1
7.936596, 0, 0
7.936602, 1, 0
7.936606, 1, 1
7.936884, 1, 0
7.936888, 0, 0
7.936894, 1, 0
7.936898, 0, 0
7.936904, 1, 0
7.936908, 0, 0
7.936910, 0, 1
7.936914, 1, 1
7.936920, 0, 0
7.936926, 1, 0
7.936930, 0, 1
7.936936, 1, 1
7.936940, 0, 1
7.936946, 1, 1
7.936950, 0, 0
7.936956, 1, 0
7.936962, 0, 1
7.936968, 1, 1
7.936972, 0, 1
7.936978, 1, 1
7.936982, 0, 0
7.936988, 1, 0
7.936994, 1, 1
7.937270, 1, 0
7.937274, 0, 0
7.937280, 1, 0
7.937286, 0, 0
7.937292, 1, 0
7.937296, 0, 1
7.937302, 1, 1
7.937306, 0, 0
7.937312, 1, 0
7.937316, 0, 1
7.937322, 1, 1
7.937328, 0, 1
7.937334, 1, 1
7.937338, 0, 1
7.937344, 1, 1
7.937348, 0, 1
7.937354, 1, 1
7.937358, 0, 1
7.937364, 1, 1
7.937370, 0, 0
7.937376, 1, 0
7.937380, 1, 1
7.937658, 1, 0
7.937662, 0, 0
7.937668, 1, 0
7.937672, 0, 0
7.937678, 1, 0
7.937684, 0, 1
7.937690, 1, 1
7.937694, 0, 1
7.937700, 1, 1
7.937704, 0, 0
7.937710, 1, 0
7.937714, 0, 0
7.937720, 1, 0
7.937726, 0, 0
7.937732, 1, 0
7.937736, 0, 1
7.937742, 1, 1
7.937746, 0, 1
7.937752, 1, 1
7.937756, 0, 1
7.937758, 0, 0
7.937764, 1, 0
7.937768, 1, 1
7.938046, 1, 0
7.938050, 0, 0
7.938056, 1, 0
7.938060, 0, 0
7.938066, 1, 0
7.938070, 0, 0
7.938072, 0, 1
7.938076, 1, 1
7.938082, 0, 1
7.938088, 1, 1
7.938092, 0, 0
7.938098, 1, 0
7.938102, 0, 0
7.938108, 1, 0
7.938112, 0, 0
7.938114, 0, 1
7.938118, 1, 1
7.938124, 0, 1
7.938130, 1, 1
7.938134, 0, 1
7.938140, 1, 1
7.938144, 0, 0
7.938150, 1, 0
7.938156, 1, 1
7.938436, 1, 0
7.938440, 0, 0
7.938446, 1, 0
7.938450, 0, 0
7.938456, 1, 0
7.938460, 0, 1
7.938466, 1, 1
7.938472, 0, 1
7.938478, 1, 1
7.938482, 0, 0
7.938488, 1, 0
7.938492, 0, 1
7.938498, 1, 1
7.938502, 0, 0
7.938508, 1, 0
7.938514, 0, 1
7.938520, 1, 1
7.938524, 0, 1
7.938530, 1, 1
7.938534, 0, 0
7.938540, 1, 0
7.938546, 1, 1
7.938822, 1, 0
7.938826, 0, 0
7.938832, 1, 0
7.938836, 0, 0
7.938842, 1, 0
7.938848, 0, 1
7.938854, 1, 1
7.938858, 0, 1
7.938864, 1, 1
7.938868, 0, 0
7.938874, 1, 0
7.938878, 0, 0
7.938880, 0, 1
7.938884, 1, 1
7.938890, 0, 1
7.938896, 1, 1
7.938900, 0, 1
7.938906, 1, 1
7.938910, 0, 1
7.938916, 1, 1
7.938920, 0, 0
7.938926, 1, 0
7.938932, 1, 1
7.939208, 1, 0
7.939212, 0, 0
7.939220, 1, 0
7.939224, 0, 0
7.939230, 1, 0
7.939234, 0, 1
7.939240, 1, 1
7.939244, 0, 1
7.939250, 1, 1
7.939254, 0, 1
7.939262, 1, 1
7.939266, 0, 0
7.939272, 1, 0
7.939276, 0, 0
7.939282, 1, 0
7.939286, 0, 1
7.939292, 1, 1
7.939296, 0, 1
7.939304, 1, 1
7.939308, 0, 0
7.939314, 1, 0
7.939318, 1, 1
7.939616, 1, 0
7.939622, 0, 0
7.939628, 1, 0
7.939632, 0, 0
7.939638, 1, 0
7.939642, 0, 1
7.939648, 1, 1
7.939652, 0, 1
7.939660, 1, 1
7.939664, 0, 1
7.939670, 1, 1
7.939674, 0, 0
7.939680, 1, 0
7.939684, 0, 1
7.939690, 1, 1
7.939694, 0, 1
7.939702, 1, 1
7.939706, 0, 1
7.939712, 1, 1
7.939716, 0, 0
7.939722, 1, 0
7.939728, 1, 1
7.940004, 1, 0
7.940008, 0, 0
7.940014, 1, 0
7.940018, 0, 0
7.940024, 1, 0
7.940030, 0, 1
7.940036, 1, 1
7.940040, 0, 1
7.940046, 1, 1
7.940050, 0, 1
7.940056, 1, 1
7.940060, 0, 1
7.940066, 1, 1
7.940072, 0, 0
7.940078, 1, 0
7.940082, 0, 1
7.940088, 1, 1
7.940092, 0, 1
7.940098, 1, 1
7.940102, 0, 1
7.940104, 0, 0
7.940108, 1, 0
7.940114, 1, 1
7.940392, 1, 0
7.940396, 0, 0
7.940402, 1, 0
7.940406, 0, 0
7.940412, 1, 0
7.940416, 0, 0
7.940418, 0, 1
7.940424, 1, 1
7.940428, 0, 1
7.940434, 1, 1
7.940438, 0, 1
7.940444, 1, 1
7.940448, 0, 1
7.940454, 1, 1
7.940460, 0, 1
7.940466, 1, 1
7.940470, 0, 1
7.940476, 1, 1
7.940480, 0, 1
7.940486, 1, 1
7.940490, 0, 0
7.940496, 1, 0
7.940502, 1, 1
7.941056, 1, 0
7.941060, 0, 0
7.941066, 1, 0
7.941070, 0, 1
7.941076, 1, 1
7.941080, 0, 1
7.941082, 0, 0
7.941086, 1, 0
7.941092, 0, 0
7.941098, 1, 0
7.941102, 0, 0
7.941108, 1, 0
7.941112, 0, 0
7.941118, 1, 0
7.941122, 0, 0
7.941128, 1, 0
7.941134, 0, 1
7.941140, 1, 1
7.941144, 0, 1
7.941150, 1, 1
7.941154, 0, 0
7.941160, 1, 0
7.941166, 1, 1
7.941434, 1, 0
7.941438, 0, 0
7.941444, 1, 0
7.941448, 0, 1
7.941454, 1, 1
7.941458, 0, 1
7.941460, 0, 0
7.941464, 1, 0
7.941470, 0, 0
7.941476, 1, 0
7.941480, 0, 0
7.941486, 1, 0
7.941490, 0, 0
7.941496, 1, 0
7.941500, 0, 0
7.941502, 0, 1
7.941506, 1, 1
7.941512, 0, 1
7.941518, 1, 1
7.941522, 0, 1
7.941528, 1, 1
7.941532, 0, 0
7.941538, 1, 0
7.941544, 1, 1
7.941820, 1, 0
7.941824, 0, 0
7.941830, 1, 0
7.941834, 0, 0
7.941836, 0, 1
7.941840, 1, 1
7.941846, 0, 0
7.941852, 1, 0
7.941856, 0, 0
7.941862, 1, 0
7.941866, 0, 0
7.941872, 1, 0
7.941876, 0, 0
7.941878, 0, 1
7.941882, 1, 1
7.941888, 0, 0
7.941894, 1, 0
7.941898, 0, 1
7.941904, 1, 1
7.941908, 0, 1
7.941914, 1, 1
7.941918, 0, 0
7.941924, 1, 0
7.941930, 1, 1
7.942208, 1, 0
7.942212, 0, 0
7.942218, 1, 0
7.942222, 0, 1
7.942228, 1, 1
7.942232, 0, 0
7.942238, 1, 0
7.942244, 0, 0
7.942250, 1, 0
7.942254, 0, 0
7.942260, 1, 0
7.942264, 0, 1
7.942270, 1, 1
7.942274, 0, 1
7.942280, 1, 1
7.942286, 0, 1
7.942292, 1, 1
7.942296, 0, 1
7.942302, 1, 1
7.942306, 0, 0
7.942312, 1, 0
7.942318, 1, 1
7.942618, 1, 0
7.942622, 0, 0
7.942628, 1, 0
7.942634, 0, 1
7.942640, 1, 1
7.942644, 0, 0
7.942650, 1, 0
7.942654, 0, 0
7.942660, 1, 0
7.942664, 0, 1
7.942670, 1, 1
7.942676, 0, 0
7.942682, 1, 0
7.942686, 0, 0
7.942692, 1, 0
7.942696, 0, 1
7.942702, 1, 1
7.942706, 0, 1
7.942712, 1, 1
7.942718, 0, 0
7.942724, 1, 0
7.942728, 1, 1
7.943006, 1, 0
7.943010, 0, 0
7.943016, 1, 0
7.943020, 0, 1
7.943026, 1, 1
7.943030, 0, 1
7.943032, 0, 0
7.943036, 1, 0
7.943042, 0, 0
7.943048, 1, 0
7.943052, 0, 1
7.943058, 1, 1
7.943062, 0, 0
7.943068, 1, 0
7.943072, 0, 0
7.943074, 0, 1
7.943078, 1, 1
7.943084, 0, 1
7.943090, 1, 1
7.943094, 0, 1
7.943100, 1, 1
7.943104, 0, 0
7.943110, 1, 0
7.943116, 1, 1
7.943392, 1, 0
7.943398, 0, 0
7.943404, 1, 0
7.943408, 0, 1
7.943414, 1, 1
7.943418, 0, 0
7.943424, 1, 0
7.943428, 0, 0
7.943434, 1, 0
7.943440, 0, 1
7.943446, 1, 1
7.943450, 0, 1
7.943456, 1, 1
7.943460, 0, 0
7.943466, 1, 0
7.943470, 0, 0
7.943472, 0, 1
7.943476, 1, 1
7.943482, 0, 1
7.943488, 1, 1
7.943492, 0, 0
7.943498, 1, 0
7.943502, 1, 1
7.943780, 1, 0
7.943784, 0, 0
7.943792, 1, 0
7.943796, 0, 1
7.943802, 1, 1
7.943806, 0, 0
7.943812, 1, 0
7.943816, 0, 0
7.943822, 1, 0
7.943826, 0, 0
7.943828, 0, 1
7.943834, 1, 1
7.943838, 0, 1
7.943844, 1, 1
7.943848, 0, 1
7.943854, 1, 1
7.943858, 0, 1
7.943864, 1, 1
7.943870, 0, 1
7.943876, 1, 1
7.943880, 0, 0
7.943886, 1, 0
7.943890, 1, 1
7.944168, 1, 0
7.944172, 0, 0
7.944178, 1, 0
7.944182, 0, 1
7.944188, 1, 1
7.944192, 0, 0
7.944198, 1, 0
7.944204, 0, 1
7.944210, 1, 1
7.944214, 0, 0
7.944220, 1, 0
7.944224, 0, 0
7.944230, 1, 0
7.944234, 0, 0
7.944240, 1, 0
7.944246, 0, 1
7.944252, 1, 1
7.944256, 0, 1
7.944262, 1, 1
7.944266, 0, 0
7.944272, 1, 0
7.944278, 1, 1
7.944554, 1, 0
7.944558, 0, 0
7.944564, 1, 0
7.944568, 0, 1
7.944574, 1, 1
7.944578, 0, 1
7.944580, 0, 0
7.944584, 1, 0
7.944590, 0, 1
7.944596, 1, 1
7.944600, 0, 0
7.944606, 1, 0
7.944610, 0, 0
7.944616, 1, 0
7.944620, 0, 0
7.944622, 0, 1
7.944626, 1, 1
7.944632, 0, 1
7.944638, 1, 1
7.944642, 0, 1
7.944648, 1, 1
7.944652, 0, 0
7.944658, 1, 0
7.944664, 1, 1
7.944940, 1, 0
7.944946, 0, 0
7.944952, 1, 0
7.944956, 0, 1
7.944962, 1, 1
7.944966, 0, 0
7.944972, 1, 0
7.944976, 0, 0
7.944978, 0, 1
7.944982, 1, 1
7.944988, 0, 0
7.944994, 1, 0
7.944998, 0, 1
7.945004, 1, 1
7.945008, 0, 0
7.945014, 1, 0
7.945018, 0, 0
7.945020, 0, 1
7.945026, 1, 1
7.945030, 0, 1
7.945036, 1, 1
7.945040, 0, 0
7.945046, 1, 0
7.945050, 1, 1
7.945326, 1, 0
7.945332, 0, 0
7.945338, 1, 0
7.945342, 0, 1
7.945348, 1, 1
7.945352, 0, 0
7.945358, 1, 0
7.945362, 0, 0
7.945364, 0, 1
7.945368, 1, 1
7.945374, 0, 0
7.945380, 1, 0
7.945384, 0, 1
7.945390, 1, 1
7.945394, 0, 1
7.945400, 1, 1
7.945404, 0, 1
7.945410, 1, 1
7.945416, 0, 1
7.945422, 1, 1
7.945426, 0, 0
7.945432, 1, 0
7.945436, 1, 1
7.945714, 1, 0
7.945718, 0, 0
7.945726, 1, 0
7.945730, 0, 1
7.945736, 1, 1
7.945740, 0, 0
7.945746, 1, 0
7.945750, 0, 1
7.945756, 1, 1
7.945762, 0, 1
7.945768, 1, 1
7.945772, 0, 0
7.945778, 1, 0
7.945782, 0, 0
7.945788, 1, 0
7.945792, 0, 1
7.945798, 1, 1
7.945804, 0, 1
7.945810, 1, 1
7.945814, 0, 0
7.945820, 1, 0
7.945824, 1, 1
7.946102, 1, 0
7.946106, 0, 0
7.946112, 1, 0
7.946116, 0, 1
7.946122, 1, 1
7.946126, 0, 0
7.946132, 1, 0
7.946138, 0, 1
7.946144, 1, 1
7.946148, 0, 1
7.946154, 1, 1
7.946158, 0, 0
7.946164, 1, 0
7.946168, 0, 1
7.946174, 1, 1
7.946180, 0, 1
7.946186, 1, 1
7.946190, 0, 1
7.946196, 1, 1
7.946200, 0, 0
7.946206, 1, 0
7.946212, 1, 1
7.946488, 1, 0
7.946492, 0, 0
7.946498, 1, 0
7.946504, 0, 1
7.946510, 1, 1
7.946514, 0, 0
7.946520, 1, 0
7.946524, 0, 1
7.946530, 1, 1
7.946534, 0, 1
7.946540, 1, 1
7.946546, 0, 1
7.946552, 1, 1
7.946556, 0, 0
7.946562, 1, 0
7.946566, 0, 1
7.946572, 1, 1
7.946576, 0, 1
7.946582, 1, 1
7.946588, 0, 0
7.946594, 1, 0
7.946598, 1, 1
7.946874, 1, 0
7.946880, 0, 0
7.946886, 1, 0
7.946890, 0, 1
7.946896, 1, 1
7.946900, 0, 0
7.946906, 1, 0
7.946910, 0, 0
7.946912, 0, 1
7.946916, 1, 1
7.946922, 0, 1
7.946928, 1, 1
7.946932, 0, 1
7.946938, 1, 1
7.946942, 0, 1
7.946948, 1, 1
7.946952, 0, 1
7.946958, 1, 1
7.946964, 0, 1
7.946970, 1, 1
7.946974, 0, 0
7.946980, 1, 0
7.946984, 1, 1
7.947540, 1, 0
7.947544, 0, 0
7.947550, 1, 0
7.947554, 0, 1
7.947560, 1, 1
7.947564, 0, 1
7.947572, 1, 1
7.947576, 0, 0
7.947582, 1, 0
7.947586, 0, 0
7.947592, 1, 0
7.947596, 0, 0
7.947602, 1, 0
7.947606, 0, 0
7.947614, 1, 0
7.947618, 0, 1
7.947624, 1, 1
7.947628, 0, 1
7.947634, 1, 1
7.947638, 0, 0
7.947644, 1, 0
7.947650, 1, 1
7.947914, 1, 0
7.947918, 0, 0
7.947924, 1, 0
7.947928, 0, 1
7.947934, 1, 1
7.947938, 0, 1
7.947944, 1, 1
7.947950, 0, 0
7.947956, 1, 0
